suite,benchmarkName,benchmarkId,gc_time
shootout,nbody_3,shootout/nbody_3,0.544999999999993
shootout,nbody_naive_2,shootout/nbody_naive_2,0.406999999999979
shootout,regexdna,shootout/regexdna,0.170999999999998
simple,profiler-rsa,simple/profiler-rsa,0.215999999999986
shootout,fastaredux_naive,shootout/fastaredux_naive,0.28799999999999
simple,profiler-shared,simple/profiler-shared,1.25699999999998
shootout_annotations,fastaredux_naive_strict,shootout_annotations/fastaredux_naive_strict,0.275000000000008
real_thing,convolution,real_thing/convolution,0
shootout_annotations,spectralnorm_strict,shootout_annotations/spectralnorm_strict,0.420000000000025
shootout,fasta_naive,shootout/fasta_naive,0.278000000000012
simple,list-while,simple/list-while,0.115
real_thing,flexclust,real_thing/flexclust,16.165
are-we-fast-r,Mandelbrot,are-we-fast-r/Mandelbrot,0
shootout,fastaredux,shootout/fastaredux,0.115000000000002
shootout,mandelbrot_ascii,shootout/mandelbrot_ascii,0.0159999999999996
shootout,spectralnorm,shootout/spectralnorm,0.00999999999999979
real_thing_annotations,flexclust_strict,real_thing_annotations/flexclust_strict,15.653000000001
shootout,spectralnorm_naive,shootout/spectralnorm_naive,0
shootout_annotations,spectralnorm_alt_3_strict,shootout_annotations/spectralnorm_alt_3_strict,0.0169999999999941
are-we-fast-r,Bounce_nonames_simple,are-we-fast-r/Bounce_nonames_simple,0.0379999999999976
are-we-fast-r,Bounce_nonames,are-we-fast-r/Bounce_nonames,0.0459999999999994
shootout,fasta_naive_2,shootout/fasta_naive_2,0.370000000000013
simple,matrix-for,simple/matrix-for,0.0069999999999999
simple,scalar-while,simple/scalar-while,0
shootout,spectralnorm_alt,shootout/spectralnorm_alt,0.031000000000001
real_thing,convolution_slow,real_thing/convolution_slow,0.0200000000000005
shootout,fannkuchredux,shootout/fannkuchredux,0.238000000000001
shootout,fannkuchredux_naive,shootout/fannkuchredux_naive,0.0109999999999975
shootout,knucleotide_brute_2,shootout/knucleotide_brute_2,0.313000000000059
shootout,reversecomplement_2,shootout/reversecomplement_2,0.171999999999998
simple,super-while,simple/super-while,0
shootout,pidigits,shootout/pidigits,0.034000000000006
shootout,knucleotide,shootout/knucleotide,0.61799999999999
shootout,fasta_2,shootout/fasta_2,0.121
shootout_annotations,fasta_3_strict,shootout_annotations/fasta_3_strict,0.175999999999993
shootout,mandelbrot_noout,shootout/mandelbrot_noout,0.0240000000000005
shootout,binarytrees,shootout/binarytrees,0.0369999999999995
shootout,binarytrees_2,shootout/binarytrees_2,0.0300000000000002
shootout,fasta_3,shootout/fasta_3,0.17499999999999
simple,bytecodes,simple/bytecodes,0
shootout,spectralnorm_math,shootout/spectralnorm_math,0.100999999999999
shootout,spectralnorm_alt_2,shootout/spectralnorm_alt_2,0.93200000000002
shootout_annotations,knucleotide_brute_strict,shootout_annotations/knucleotide_brute_strict,0.296000000000014
simple,profiler-microbenchmark,simple/profiler-microbenchmark,0.157999999999988
shootout,mandelbrot_noout_naive,shootout/mandelbrot_noout_naive,0.188999999999999
simple,vector-for,simple/vector-for,0.028999999999999
are-we-fast-r,Bounce,are-we-fast-r/Bounce,0.36200000000002
real_thing,convolution_v,real_thing/convolution_v,0.0170000000000008
simple,scalar-for,simple/scalar-for,0
are-we-fast-r,Storage,are-we-fast-r/Storage,0.297000000000008
shootout,binarytrees_naive,shootout/binarytrees_naive,0.0230000000000006
shootout,nbody_naive,shootout/nbody_naive,0.0399999999999956
shootout,reversecomplement,shootout/reversecomplement,0.190000000000004
simple,empty-for,simple/empty-for,0
simple,lapply-dots,simple/lapply-dots,3.954
simple,empty-while,simple/empty-while,0
shootout_annotations,binarytrees_2_strict,shootout_annotations/binarytrees_2_strict,0.0249999999999999
shootout,mandelbrot_naive_ascii,shootout/mandelbrot_naive_ascii,0.0390000000000024
simple,lapply,simple/lapply,2.933
shootout,fasta,shootout/fasta,0.0910000000000011
real_thing,flexclust_no_s4,real_thing/flexclust_no_s4,14.1669999999999
shootout,knucleotide_brute,shootout/knucleotide_brute,0.298999999999968
shootout,reversecomplement_naive,shootout/reversecomplement_naive,0.169999999999994
simple,vector-while,simple/vector-while,0.0720000000000001
shootout_annotations,pidigits_strict,shootout_annotations/pidigits_strict,0.027000000000001
simple,list-for,simple/list-for,0.174
shootout,knucleotide_brute_3,shootout/knucleotide_brute_3,0.811000000000057
shootout,nbody,shootout/nbody,0.411000000000003
shootout,nbody_2,shootout/nbody_2,0.308000000000001
shootout,spectralnorm_alt_3,shootout/spectralnorm_alt_3,0.00499999999999989
